"Label (Grouping)","Population 1 year and over"
"    Moved; within same county",""
"        Estimate","1.3%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","10.6%"
"        Margin of Error","±10.7"
"    Moved; from different  state",""
"        Estimate","0.0%"
"        Margin of Error","±2.9"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±2.9"
"Jefferson County, Texas",""
"    Total",""
"        Estimate","250,281"
"        Margin of Error","±520"
"    Moved; within same county",""
"        Estimate","6.3%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","4.4%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.2"
"Jim Hogg County, Texas",""
"    Total",""
"        Estimate","4,584"
"        Margin of Error","±132"
"    Moved; within same county",""
"        Estimate","7.5%"
"        Margin of Error","±6.5"
"    Moved; from different county, same state",""
"        Estimate","7.7%"
"        Margin of Error","±7.3"
"    Moved; from different  state",""
"        Estimate","0.3%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±1.1"
"Jim Wells County, Texas",""
"    Total",""
"        Estimate","38,442"
"        Margin of Error","±181"
"    Moved; within same county",""
"        Estimate","5.7%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","2.1%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Johnson County, Texas",""
"    Total",""
"        Estimate","186,494"
"        Margin of Error","±329"
"    Moved; within same county",""
"        Estimate","3.8%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","4.2%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Jones County, Texas",""
"    Total",""
"        Estimate","19,756"
"        Margin of Error","±62"
"    Moved; within same county",""
"        Estimate","3.7%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","17.1%"
"        Margin of Error","±2.1"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Karnes County, Texas",""
"    Total",""
"        Estimate","14,567"
"        Margin of Error","±110"
"    Moved; within same county",""
"        Estimate","7.3%"
"        Margin of Error","±3.8"
"    Moved; from different county, same state",""
"        Estimate","7.8%"
"        Margin of Error","±2.0"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","2.3%"
"        Margin of Error","±2.0"
"Kaufman County, Texas",""
"    Total",""
"        Estimate","158,805"
"        Margin of Error","±440"
"    Moved; within same county",""
"        Estimate","5.1%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","9.1%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Kendall County, Texas",""
"    Total",""
"        Estimate","46,538"
"        Margin of Error","±155"
"    Moved; within same county",""
"        Estimate","5.6%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","5.7%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.6"
"Kenedy County, Texas",""
"    Total",""
"        Estimate","52"
"        Margin of Error","±37"
"    Moved; within same county",""
"        Estimate","1.9%"
"        Margin of Error","±5.5"
"    Moved; from different county, same state",""
"        Estimate","9.6%"
"        Margin of Error","±11.6"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±3.0"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±51.0"
"Kent County, Texas",""
"    Total",""
"        Estimate","719"
"        Margin of Error","±113"
"    Moved; within same county",""
"        Estimate","1.7%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","8.3%"
"        Margin of Error","±4.2"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±1.7"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±6.7"
"Kerr County, Texas",""
"    Total",""
"        Estimate","52,863"
"        Margin of Error","±132"
"    Moved; within same county",""
"        Estimate","6.9%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","6.4%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Kimble County, Texas",""
"    Total",""
"        Estimate","4,311"
"        Margin of Error","±34"
"    Moved; within same county",""
"        Estimate","7.6%"
"        Margin of Error","±5.2"
"    Moved; from different county, same state",""
"        Estimate","5.4%"
"        Margin of Error","±3.2"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±1.2"
"King County, Texas",""
"    Total",""
"        Estimate","189"
"        Margin of Error","±70"
"    Moved; within same county",""
"        Estimate","14.8%"
"        Margin of Error","±21.8"
"    Moved; from different county, same state",""
"        Estimate","11.1%"
"        Margin of Error","±10.9"
"    Moved; from different  state",""
"        Estimate","0.0%"
"        Margin of Error","±23.0"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±23.0"
"Kinney County, Texas",""
"    Total",""
"        Estimate","3,108"
"        Margin of Error","±37"
"    Moved; within same county",""
"        Estimate","4.6%"
"        Margin of Error","±3.5"
"    Moved; from different county, same state",""
"        Estimate","4.8%"
"        Margin of Error","±3.7"
"    Moved; from different  state",""
"        Estimate","3.5%"
"        Margin of Error","±3.6"
"    Moved; from abroad",""
"        Estimate","0.9%"
"        Margin of Error","±2.1"
"Kleberg County, Texas",""
"    Total",""
"        Estimate","30,527"
"        Margin of Error","±72"
"    Moved; within same county",""
"        Estimate","4.4%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","6.2%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.5"
"Knox County, Texas",""
"    Total",""
"        Estimate","3,267"
"        Margin of Error","±26"
"    Moved; within same county",""
"        Estimate","3.1%"
"        Margin of Error","±2.2"
"    Moved; from different county, same state",""
"        Estimate","9.4%"
"        Margin of Error","±2.6"
"    Moved; from different  state",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.5"
"Lamar County, Texas",""
"    Total",""
"        Estimate","49,886"
"        Margin of Error","±167"
"    Moved; within same county",""
"        Estimate","7.7%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","4.8%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Lamb County, Texas",""
"    Total",""
"        Estimate","12,704"
"        Margin of Error","±77"
"    Moved; within same county",""
"        Estimate","4.2%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.7"
"Lampasas County, Texas",""
"    Total",""
"        Estimate","22,043"
"        Margin of Error","±85"
"    Moved; within same county",""
"        Estimate","3.6%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","4.6%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"La Salle County, Texas",""
"    Total",""
"        Estimate","6,946"
"        Margin of Error","±37"
"    Moved; within same county",""
"        Estimate","9.6%"
"        Margin of Error","±7.4"
"    Moved; from different county, same state",""
"        Estimate","5.4%"
"        Margin of Error","±2.7"
"    Moved; from different  state",""
"        Estimate","0.1%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","2.2%"
"        Margin of Error","±4.6"
"Lavaca County, Texas",""
"    Total",""
"        Estimate","20,385"
"        Margin of Error","±38"
"    Moved; within same county",""
"        Estimate","5.0%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","5.3%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"Lee County, Texas",""
"    Total",""
"        Estimate","17,545"
"        Margin of Error","±137"
"    Moved; within same county",""
"        Estimate","2.5%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.3"
"Leon County, Texas",""
"    Total",""
"        Estimate","15,942"
"        Margin of Error","±63"
"    Moved; within same county",""
"        Estimate","3.2%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","3.7%"
"        Margin of Error","±2.0"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.3"
"Liberty County, Texas",""
"    Total",""
"        Estimate","96,787"
"        Margin of Error","±328"
"    Moved; within same county",""
"        Estimate","3.1%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","9.8%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Limestone County, Texas",""
"    Total",""
"        Estimate","21,819"
"        Margin of Error","±137"
"    Moved; within same county",""
"        Estimate","4.9%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","3.6%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Lipscomb County, Texas",""
"    Total",""
"        Estimate","2,936"
"        Margin of Error","±13"
"    Moved; within same county",""
"        Estimate","4.3%"
"        Margin of Error","±2.2"
"    Moved; from different county, same state",""
"        Estimate","4.2%"
"        Margin of Error","±2.3"
"    Moved; from different  state",""
"        Estimate","2.9%"
"        Margin of Error","±1.8"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.4"
"Live Oak County, Texas",""
"    Total",""
"        Estimate","11,229"
"        Margin of Error","±94"
"    Moved; within same county",""
"        Estimate","3.3%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","10.5%"
"        Margin of Error","±1.8"
"    Moved; from different  state",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.4"
"Llano County, Texas",""
"    Total",""
"        Estimate","21,894"
"        Margin of Error","±109"
"    Moved; within same county",""
"        Estimate","3.7%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","7.5%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Loving County, Texas",""
"    Total",""
"        Estimate","54"
"        Margin of Error","±34"
"    Moved; within same county",""
"        Estimate","0.0%"
"        Margin of Error","±50.1"
"    Moved; from different county, same state",""
"        Estimate","0.0%"
"        Margin of Error","±50.1"
"    Moved; from different  state",""
"        Estimate","0.0%"
"        Margin of Error","±50.1"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±50.1"
"Lubbock County, Texas",""
"    Total",""
"        Estimate","311,165"
"        Margin of Error","±445"
"    Moved; within same county",""
"        Estimate","12.0%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","6.5%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","2.2%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.1"
"Lynn County, Texas",""
"    Total",""
"        Estimate","5,570"
"        Margin of Error","±34"
"    Moved; within same county",""
"        Estimate","0.8%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","8.7%"
"        Margin of Error","±3.7"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±1.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"McCulloch County, Texas",""
"    Total",""
"        Estimate","7,471"
"        Margin of Error","±71"
"    Moved; within same county",""
"        Estimate","7.7%"
"        Margin of Error","±4.0"
"    Moved; from different county, same state",""
"        Estimate","5.5%"
"        Margin of Error","±2.7"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.7"
"McLennan County, Texas",""
"    Total",""
"        Estimate","260,593"
"        Margin of Error","±379"
"    Moved; within same county",""
"        Estimate","9.2%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","4.0%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","2.6%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.2"
"McMullen County, Texas",""
"    Total",""
"        Estimate","603"
"        Margin of Error","±187"
"    Moved; within same county",""
"        Estimate","0.0%"
"        Margin of Error","±8.0"
"    Moved; from different county, same state",""
"        Estimate","1.2%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","0.0%"
"        Margin of Error","±8.0"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±8.0"
"Madison County, Texas",""
"    Total",""
"        Estimate","13,397"
"        Margin of Error","±70"
"    Moved; within same county",""
"        Estimate","2.3%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","10.2%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","0.3%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"Marion County, Texas",""
"    Total",""
"        Estimate","9,575"
"        Margin of Error","±28"
"    Moved; within same county",""
"        Estimate","2.5%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","6.8%"
"        Margin of Error","±2.6"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Martin County, Texas",""
"    Total",""
"        Estimate","5,212"
"        Margin of Error","±33"
"    Moved; within same county",""
"        Estimate","4.0%"
"        Margin of Error","±3.1"
"    Moved; from different county, same state",""
"        Estimate","8.0%"
"        Margin of Error","±5.7"
"    Moved; from different  state",""
"        Estimate","2.0%"
"        Margin of Error","±2.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±1.0"
"Mason County, Texas",""
"    Total",""
"        Estimate","3,951"
"        Margin of Error","±15"
"    Moved; within same county",""
"        Estimate","1.4%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","9.3%"
"        Margin of Error","±6.0"
"    Moved; from different  state",""
"        Estimate","3.6%"
"        Margin of Error","±3.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Matagorda County, Texas",""
"    Total",""
"        Estimate","35,889"
"        Margin of Error","±182"
"    Moved; within same county",""
"        Estimate","4.3%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","5.2%"
"        Margin of Error","±1.7"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.5"
"Maverick County, Texas",""
"    Total",""
"        Estimate","56,733"
"        Margin of Error","±318"
"    Moved; within same county",""
"        Estimate","6.3%"
"        Margin of Error","±2.5"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Medina County, Texas",""
"    Total",""
"        Estimate","51,806"
"        Margin of Error","±205"
"    Moved; within same county",""
"        Estimate","6.0%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","5.4%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Menard County, Texas",""
"    Total",""
"        Estimate","1,964"
"        Margin of Error","±15"
"    Moved; within same county",""
"        Estimate","2.9%"
"        Margin of Error","±2.9"
"    Moved; from different county, same state",""
"        Estimate","4.4%"
"        Margin of Error","±3.7"
"    Moved; from different  state",""
"        Estimate","0.0%"
"        Margin of Error","±2.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.6"
"Midland County, Texas",""
"    Total",""
"        Estimate","168,942"
"        Margin of Error","±510"
"    Moved; within same county",""
"        Estimate","8.2%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","5.6%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","2.3%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.4"
"Milam County, Texas",""
"    Total",""
"        Estimate","25,073"
"        Margin of Error","±106"
"    Moved; within same county",""
"        Estimate","4.4%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","5.3%"
"        Margin of Error","±1.7"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±1.3"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Mills County, Texas",""
"    Total",""
"        Estimate","4,448"
"        Margin of Error","±28"
"    Moved; within same county",""
"        Estimate","3.1%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","5.4%"
"        Margin of Error","±2.4"
"    Moved; from different  state",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±1.1"
"Mitchell County, Texas",""
"    Total",""
"        Estimate","8,932"
"        Margin of Error","±64"
"    Moved; within same county",""
"        Estimate","0.9%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","9.5%"
"        Margin of Error","±2.6"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.6"
"Montague County, Texas",""
"    Total",""
"        Estimate","20,399"
"        Margin of Error","±96"
"    Moved; within same county",""
"        Estimate","4.2%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","6.6%"
"        Margin of Error","±2.2"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Montgomery County, Texas",""
"    Total",""
"        Estimate","647,489"
"        Margin of Error","±834"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","4.4%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.2"
"Moore County, Texas",""
"    Total",""
"        Estimate","20,884"
"        Margin of Error","±131"
"    Moved; within same county",""
"        Estimate","7.9%"
"        Margin of Error","±2.2"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.4"
"Morris County, Texas",""
"    Total",""
"        Estimate","11,903"
"        Margin of Error","±67"
"    Moved; within same county",""
"        Estimate","4.1%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Motley County, Texas",""
"    Total",""
"        Estimate","1,239"
"        Margin of Error","±147"
"    Moved; within same county",""
"        Estimate","1.3%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±2.3"
"    Moved; from different  state",""
"        Estimate","0.0%"
"        Margin of Error","±4.0"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±4.0"
"Nacogdoches County, Texas",""
"    Total",""
"        Estimate","63,832"
"        Margin of Error","±226"
"    Moved; within same county",""
"        Estimate","10.7%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","7.6%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Navarro County, Texas",""
"    Total",""
"        Estimate","52,971"
"        Margin of Error","±221"
"    Moved; within same county",""
"        Estimate","8.0%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","4.8%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Newton County, Texas",""
"    Total",""
"        Estimate","12,032"
"        Margin of Error","±64"
"    Moved; within same county",""
"        Estimate","6.0%"
"        Margin of Error","±2.5"
"    Moved; from different county, same state",""
"        Estimate","4.1%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Nolan County, Texas",""
"    Total",""
"        Estimate","14,376"
"        Margin of Error","±101"
"    Moved; within same county",""
"        Estimate","7.5%"
"        Margin of Error","±2.3"
"    Moved; from different county, same state",""
"        Estimate","4.2%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Nueces County, Texas",""
"    Total",""
"        Estimate","349,114"
"        Margin of Error","±597"
"    Moved; within same county",""
"        Estimate","9.5%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","3.3%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Ochiltree County, Texas",""
"    Total",""
"        Estimate","9,678"
"        Margin of Error","±95"
"    Moved; within same county",""
"        Estimate","6.6%"
"        Margin of Error","±3.0"
"    Moved; from different county, same state",""
"        Estimate","2.4%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","2.6%"
"        Margin of Error","±2.0"
"    Moved; from abroad",""
"        Estimate","0.9%"
"        Margin of Error","±0.7"
"Oldham County, Texas",""
"    Total",""
"        Estimate","2,065"
"        Margin of Error","±220"
"    Moved; within same county",""
"        Estimate","6.7%"
"        Margin of Error","±7.5"
"    Moved; from different county, same state",""
"        Estimate","13.7%"
"        Margin of Error","±7.1"
"    Moved; from different  state",""
"        Estimate","4.6%"
"        Margin of Error","±4.1"
"    Moved; from abroad",""
"        Estimate","1.2%"
"        Margin of Error","±1.5"
"Orange County, Texas",""
"    Total",""
"        Estimate","83,891"
"        Margin of Error","±199"
"    Moved; within same county",""
"        Estimate","6.5%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Palo Pinto County, Texas",""
"    Total",""
"        Estimate","28,660"
"        Margin of Error","±106"
"    Moved; within same county",""
"        Estimate","6.7%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","6.0%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"Panola County, Texas",""
"    Total",""
"        Estimate","22,401"
"        Margin of Error","±84"
"    Moved; within same county",""
"        Estimate","4.9%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","4.1%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Parker County, Texas",""
"    Total",""
"        Estimate","156,533"
"        Margin of Error","±264"
"    Moved; within same county",""
"        Estimate","4.2%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","6.1%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Parmer County, Texas",""
"    Total",""
"        Estimate","9,721"
"        Margin of Error","±28"
"    Moved; within same county",""
"        Estimate","6.3%"
"        Margin of Error","±3.4"
"    Moved; from different county, same state",""
"        Estimate","2.4%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.9%"
"        Margin of Error","±0.9"
"Pecos County, Texas",""
"    Total",""
"        Estimate","14,861"
"        Margin of Error","±124"
"    Moved; within same county",""
"        Estimate","2.6%"
"        Margin of Error","±2.1"
"    Moved; from different county, same state",""
"        Estimate","5.8%"
"        Margin of Error","±1.8"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.7"
"Polk County, Texas",""
"    Total",""
"        Estimate","51,388"
"        Margin of Error","±137"
"    Moved; within same county",""
"        Estimate","7.5%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","10.8%"
"        Margin of Error","±1.7"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Potter County, Texas",""
"    Total",""
"        Estimate","115,243"
"        Margin of Error","±321"
"    Moved; within same county",""
"        Estimate","4.5%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","4.6%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.5"
