"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
"        Estimate","14,618","1,754","114,874","2,673","7,234"
"    Percent","","","","",""
"        Estimate","(X)","12.0%","(X)","2.3%","6.3%"
"    Male","","","","",""
"        Estimate","7,346","1,086","55,185","1,661","4,114"
"    Percent Male","","","","",""
"        Estimate","(X)","14.8%","(X)","3.0%","7.5%"
"    Female","","","","",""
"        Estimate","7,272","668","59,689","1,012","3,120"
"    Percent Female","","","","",""
"        Estimate","(X)","9.2%","(X)","1.7%","5.2%"
"Peach County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","3,921","335","18,329","1,034","1,226"
"    Percent","","","","",""
"        Estimate","(X)","8.5%","(X)","5.6%","6.7%"
"    Male","","","","",""
"        Estimate","1,856","255","8,738","799","456"
"    Percent Male","","","","",""
"        Estimate","(X)","13.7%","(X)","9.1%","5.2%"
"    Female","","","","",""
"        Estimate","2,065","80","9,591","235","770"
"    Percent Female","","","","",""
"        Estimate","(X)","3.9%","(X)","2.5%","8.0%"
"Pickens County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","2,333","473","25,360","740","1,818"
"    Percent","","","","",""
"        Estimate","(X)","20.3%","(X)","2.9%","7.2%"
"    Male","","","","",""
"        Estimate","1,207","254","12,333","552","769"
"    Percent Male","","","","",""
"        Estimate","(X)","21.0%","(X)","4.5%","6.2%"
"    Female","","","","",""
"        Estimate","1,126","219","13,027","188","1,049"
"    Percent Female","","","","",""
"        Estimate","(X)","19.4%","(X)","1.4%","8.1%"
"Pierce County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","1,581","378","13,466","855","931"
"    Percent","","","","",""
"        Estimate","(X)","23.9%","(X)","6.3%","6.9%"
"    Male","","","","",""
"        Estimate","890","228","6,723","515","358"
"    Percent Male","","","","",""
"        Estimate","(X)","25.6%","(X)","7.7%","5.3%"
"    Female","","","","",""
"        Estimate","691","150","6,743","340","573"
"    Percent Female","","","","",""
"        Estimate","(X)","21.7%","(X)","5.0%","8.5%"
"Pike County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","1,632","243","13,313","220","1,109"
"    Percent","","","","",""
"        Estimate","(X)","14.9%","(X)","1.7%","8.3%"
"    Male","","","","",""
"        Estimate","804","118","6,380","80","483"
"    Percent Male","","","","",""
"        Estimate","(X)","14.7%","(X)","1.3%","7.6%"
"    Female","","","","",""
"        Estimate","828","125","6,933","140","626"
"    Percent Female","","","","",""
"        Estimate","(X)","15.1%","(X)","2.0%","9.0%"
"Polk County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","3,510","753","28,861","1,925","3,234"
"    Percent","","","","",""
"        Estimate","(X)","21.5%","(X)","6.7%","11.2%"
"    Male","","","","",""
"        Estimate","1,808","460","13,958","852","1,896"
"    Percent Male","","","","",""
"        Estimate","(X)","25.4%","(X)","6.1%","13.6%"
"    Female","","","","",""
"        Estimate","1,702","293","14,903","1,073","1,338"
"    Percent Female","","","","",""
"        Estimate","(X)","17.2%","(X)","7.2%","9.0%"
"Pulaski County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","466","123","7,616","970","545"
"    Percent","","","","",""
"        Estimate","(X)","26.4%","(X)","12.7%","7.2%"
"    Male","","","","",""
"        Estimate","166","45","2,973","289","234"
"    Percent Male","","","","",""
"        Estimate","(X)","27.1%","(X)","9.7%","7.9%"
"    Female","","","","",""
"        Estimate","300","78","4,643","681","311"
"    Percent Female","","","","",""
"        Estimate","(X)","26.0%","(X)","14.7%","6.7%"
"Putnam County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","1,539","398","16,568","695","1,317"
"    Percent","","","","",""
"        Estimate","(X)","25.9%","(X)","4.2%","7.9%"
"    Male","","","","",""
"        Estimate","732","128","7,958","439","618"
"    Percent Male","","","","",""
"        Estimate","(X)","17.5%","(X)","5.5%","7.8%"
"    Female","","","","",""
"        Estimate","807","270","8,610","256","699"
"    Percent Female","","","","",""
"        Estimate","(X)","33.5%","(X)","3.0%","8.1%"
"Quitman County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","315","11","1,575","89","191"
"    Percent","","","","",""
"        Estimate","(X)","3.5%","(X)","5.7%","12.1%"
"    Male","","","","",""
"        Estimate","283","11","753","60","92"
"    Percent Male","","","","",""
"        Estimate","(X)","3.9%","(X)","8.0%","12.2%"
"    Female","","","","",""
"        Estimate","32","0","822","29","99"
"    Percent Female","","","","",""
"        Estimate","(X)","0.0%","(X)","3.5%","12.0%"
"Rabun County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","1,132","349","13,185","433","867"
"    Percent","","","","",""
"        Estimate","(X)","30.8%","(X)","3.3%","6.6%"
"    Male","","","","",""
"        Estimate","628","249","6,288","172","509"
"    Percent Male","","","","",""
"        Estimate","(X)","39.6%","(X)","2.7%","8.1%"
"    Female","","","","",""
"        Estimate","504","100","6,897","261","358"
"    Percent Female","","","","",""
"        Estimate","(X)","19.8%","(X)","3.8%","5.2%"
"Randolph County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","354","36","4,243","231","475"
"    Percent","","","","",""
"        Estimate","(X)","10.2%","(X)","5.4%","11.2%"
"    Male","","","","",""
"        Estimate","204","26","1,900","78","245"
"    Percent Male","","","","",""
"        Estimate","(X)","12.7%","(X)","4.1%","12.9%"
"    Female","","","","",""
"        Estimate","150","10","2,343","153","230"
"    Percent Female","","","","",""
"        Estimate","(X)","6.7%","(X)","6.5%","9.8%"
"Richmond County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","22,448","3,588","136,137","4,237","12,308"
"    Percent","","","","",""
"        Estimate","(X)","16.0%","(X)","3.1%","9.0%"
"    Male","","","","",""
"        Estimate","12,275","1,589","62,776","2,141","5,876"
"    Percent Male","","","","",""
"        Estimate","(X)","12.9%","(X)","3.4%","9.4%"
"    Female","","","","",""
"        Estimate","10,173","1,999","73,361","2,096","6,432"
"    Percent Female","","","","",""
"        Estimate","(X)","19.7%","(X)","2.9%","8.8%"
"Rockdale County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","8,366","1,219","63,347","2,274","4,058"
"    Percent","","","","",""
"        Estimate","(X)","14.6%","(X)","3.6%","6.4%"
"    Male","","","","",""
"        Estimate","4,194","729","28,732","1,055","1,834"
"    Percent Male","","","","",""
"        Estimate","(X)","17.4%","(X)","3.7%","6.4%"
"    Female","","","","",""
"        Estimate","4,172","490","34,615","1,219","2,224"
"    Percent Female","","","","",""
"        Estimate","(X)","11.7%","(X)","3.5%","6.4%"
"Schley County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","322","42","3,131","92","385"
"    Percent","","","","",""
"        Estimate","(X)","13.0%","(X)","2.9%","12.3%"
"    Male","","","","",""
"        Estimate","139","3","1,417","37","170"
"    Percent Male","","","","",""
"        Estimate","(X)","2.2%","(X)","2.6%","12.0%"
"    Female","","","","",""
"        Estimate","183","39","1,714","55","215"
"    Percent Female","","","","",""
"        Estimate","(X)","21.3%","(X)","3.2%","12.5%"
"Screven County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","675","136","10,438","386","1,219"
"    Percent","","","","",""
"        Estimate","(X)","20.1%","(X)","3.7%","11.7%"
"    Male","","","","",""
"        Estimate","272","79","5,047","138","633"
"    Percent Male","","","","",""
"        Estimate","(X)","29.0%","(X)","2.7%","12.5%"
"    Female","","","","",""
"        Estimate","403","57","5,391","248","586"
"    Percent Female","","","","",""
"        Estimate","(X)","14.1%","(X)","4.6%","10.9%"
"Seminole County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","557","195","6,734","160","558"
"    Percent","","","","",""
"        Estimate","(X)","35.0%","(X)","2.4%","8.3%"
"    Male","","","","",""
"        Estimate","264","122","3,143","99","218"
"    Percent Male","","","","",""
"        Estimate","(X)","46.2%","(X)","3.1%","6.9%"
"    Female","","","","",""
"        Estimate","293","73","3,591","61","340"
"    Percent Female","","","","",""
"        Estimate","(X)","24.9%","(X)","1.7%","9.5%"
"Spalding County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","5,357","870","46,902","1,562","5,301"
"    Percent","","","","",""
"        Estimate","(X)","16.2%","(X)","3.3%","11.3%"
"    Male","","","","",""
"        Estimate","2,771","532","21,558","884","2,509"
"    Percent Male","","","","",""
"        Estimate","(X)","19.2%","(X)","4.1%","11.6%"
"    Female","","","","",""
"        Estimate","2,586","338","25,344","678","2,792"
"    Percent Female","","","","",""
"        Estimate","(X)","13.1%","(X)","2.7%","11.0%"
"Stephens County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","2,536","205","18,368","1,226","1,746"
"    Percent","","","","",""
"        Estimate","(X)","8.1%","(X)","6.7%","9.5%"
"    Male","","","","",""
"        Estimate","1,256","112","8,756","462","901"
"    Percent Male","","","","",""
"        Estimate","(X)","8.9%","(X)","5.3%","10.3%"
"    Female","","","","",""
"        Estimate","1,280","93","9,612","764","845"
"    Percent Female","","","","",""
"        Estimate","(X)","7.3%","(X)","7.9%","8.8%"
"Stewart County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","428","68","3,959","306","768"
"    Percent","","","","",""
"        Estimate","(X)","15.9%","(X)","7.7%","19.4%"
"    Male","","","","",""
"        Estimate","294","67","2,679","269","588"
"    Percent Male","","","","",""
"        Estimate","(X)","22.8%","(X)","10.0%","21.9%"
"    Female","","","","",""
"        Estimate","134","1","1,280","37","180"
"    Percent Female","","","","",""
"        Estimate","(X)","0.7%","(X)","2.9%","14.1%"
"Sumter County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","4,171","281","18,434","1,064","1,830"
"    Percent","","","","",""
"        Estimate","(X)","6.7%","(X)","5.8%","9.9%"
"    Male","","","","",""
"        Estimate","1,848","114","8,594","553","969"
"    Percent Male","","","","",""
"        Estimate","(X)","6.2%","(X)","6.4%","11.3%"
"    Female","","","","",""
"        Estimate","2,323","167","9,840","511","861"
"    Percent Female","","","","",""
"        Estimate","(X)","7.2%","(X)","5.2%","8.8%"
"Talbot County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","441","72","4,373","150","598"
"    Percent","","","","",""
"        Estimate","(X)","16.3%","(X)","3.4%","13.7%"
"    Male","","","","",""
"        Estimate","189","16","2,091","66","398"
"    Percent Male","","","","",""
"        Estimate","(X)","8.5%","(X)","3.2%","19.0%"
"    Female","","","","",""
"        Estimate","252","56","2,282","84","200"
"    Percent Female","","","","",""
"        Estimate","(X)","22.2%","(X)","3.7%","8.8%"
"Taliaferro County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","136","23","1,290","106","107"
"    Percent","","","","",""
"        Estimate","(X)","16.9%","(X)","8.2%","8.3%"
"    Male","","","","",""
"        Estimate","52","4","588","65","42"
"    Percent Male","","","","",""
"        Estimate","(X)","7.7%","(X)","11.1%","7.1%"
"    Female","","","","",""
"        Estimate","84","19","702","41","65"
"    Percent Female","","","","",""
"        Estimate","(X)","22.6%","(X)","5.8%","9.3%"
"Tattnall County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","2,324","566","16,998","1,246","2,024"
"    Percent","","","","",""
"        Estimate","(X)","24.4%","(X)","7.3%","11.9%"
"    Male","","","","",""
"        Estimate","1,427","539","9,880","841","1,382"
"    Percent Male","","","","",""
"        Estimate","(X)","37.8%","(X)","8.5%","14.0%"
"    Female","","","","",""
"        Estimate","897","27","7,118","405","642"
"    Percent Female","","","","",""
"        Estimate","(X)","3.0%","(X)","5.7%","9.0%"
"Taylor County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","643","202","5,587","381","863"
"    Percent","","","","",""
"        Estimate","(X)","31.4%","(X)","6.8%","15.4%"
"    Male","","","","",""
"        Estimate","344","123","2,551","226","423"
"    Percent Male","","","","",""
"        Estimate","(X)","35.8%","(X)","8.9%","16.6%"
"    Female","","","","",""
"        Estimate","299","79","3,036","155","440"
"    Percent Female","","","","",""
"        Estimate","(X)","26.4%","(X)","5.1%","14.5%"
"Telfair County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","998","156","8,398","757","1,051"
"    Percent","","","","",""
"        Estimate","(X)","15.6%","(X)","9.0%","12.5%"
"    Male","","","","",""
"        Estimate","554","119","4,739","475","720"
"    Percent Male","","","","",""
"        Estimate","(X)","21.5%","(X)","10.0%","15.2%"
"    Female","","","","",""
"        Estimate","444","37","3,659","282","331"
"    Percent Female","","","","",""
"        Estimate","(X)","8.3%","(X)","7.7%","9.0%"
"Terrell County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","730","257","6,175","482","887"
"    Percent","","","","",""
"        Estimate","(X)","35.2%","(X)","7.8%","14.4%"
"    Male","","","","",""
"        Estimate","427","214","2,881","244","412"
"    Percent Male","","","","",""
"        Estimate","(X)","50.1%","(X)","8.5%","14.3%"
"    Female","","","","",""
"        Estimate","303","43","3,294","238","475"
"    Percent Female","","","","",""
"        Estimate","(X)","14.2%","(X)","7.2%","14.4%"
"Thomas County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","3,603","559","31,200","1,189","2,549"
"    Percent","","","","",""
"        Estimate","(X)","15.5%","(X)","3.8%","8.2%"
"    Male","","","","",""
"        Estimate","1,803","330","14,290","549","1,491"
"    Percent Male","","","","",""
"        Estimate","(X)","18.3%","(X)","3.8%","10.4%"
"    Female","","","","",""
"        Estimate","1,800","229","16,910","640","1,058"
"    Percent Female","","","","",""
"        Estimate","(X)","12.7%","(X)","3.8%","6.3%"
"Tift County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","3,803","587","27,144","1,395","2,494"
"    Percent","","","","",""
"        Estimate","(X)","15.4%","(X)","5.1%","9.2%"
"    Male","","","","",""
"        Estimate","1,792","298","12,844","821","1,266"
"    Percent Male","","","","",""
"        Estimate","(X)","16.6%","(X)","6.4%","9.9%"
"    Female","","","","",""
"        Estimate","2,011","289","14,300","574","1,228"
"    Percent Female","","","","",""
"        Estimate","(X)","14.4%","(X)","4.0%","8.6%"
"Toombs County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","2,611","490","17,208","1,121","1,645"
"    Percent","","","","",""
"        Estimate","(X)","18.8%","(X)","6.5%","9.6%"
"    Male","","","","",""
"        Estimate","1,334","308","7,717","522","898"
"    Percent Male","","","","",""
"        Estimate","(X)","23.1%","(X)","6.8%","11.6%"
"    Female","","","","",""
"        Estimate","1,277","182","9,491","599","747"
"    Percent Female","","","","",""
"        Estimate","(X)","14.3%","(X)","6.3%","7.9%"
"Towns County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","1,365","181","9,779","176","507"
"    Percent","","","","",""
"        Estimate","(X)","13.3%","(X)","1.8%","5.2%"
"    Male","","","","",""
"        Estimate","729","109","4,697","97","299"
"    Percent Male","","","","",""
"        Estimate","(X)","15.0%","(X)","2.1%","6.4%"
"    Female","","","","",""
"        Estimate","636","72","5,082","79","208"
"    Percent Female","","","","",""
"        Estimate","(X)","11.3%","(X)","1.6%","4.1%"
"Treutlen County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","706","228","4,196","264","795"
"    Percent","","","","",""
"        Estimate","(X)","32.3%","(X)","6.3%","18.9%"
"    Male","","","","",""
"        Estimate","396","141","2,084","96","532"
"    Percent Male","","","","",""
"        Estimate","(X)","35.6%","(X)","4.6%","25.5%"
"    Female","","","","",""
"        Estimate","310","87","2,112","168","263"
"    Percent Female","","","","",""
"        Estimate","(X)","28.1%","(X)","8.0%","12.5%"
"Troup County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","6,030","1,258","46,637","1,428","4,214"
"    Percent","","","","",""
"        Estimate","(X)","20.9%","(X)","3.1%","9.0%"
"    Male","","","","",""
"        Estimate","3,055","618","21,466","771","2,114"
"    Percent Male","","","","",""
"        Estimate","(X)","20.2%","(X)","3.6%","9.8%"
"    Female","","","","",""
"        Estimate","2,975","640","25,171","657","2,100"
"    Percent Female","","","","",""
"        Estimate","(X)","21.5%","(X)","2.6%","8.3%"
"Turner County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","538","117","6,108","391","792"
"    Percent","","","","",""
"        Estimate","(X)","21.7%","(X)","6.4%","13.0%"
"    Male","","","","",""
"        Estimate","288","51","2,792","146","341"
"    Percent Male","","","","",""
"        Estimate","(X)","17.7%","(X)","5.2%","12.2%"
"    Female","","","","",""
"        Estimate","250","66","3,316","245","451"
"    Percent Female","","","","",""
"        Estimate","(X)","26.4%","(X)","7.4%","13.6%"
"Twiggs County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","381","125","5,994","263","1,066"
"    Percent","","","","",""
"        Estimate","(X)","32.8%","(X)","4.4%","17.8%"
"    Male","","","","",""
"        Estimate","205","43","2,926","104","595"
"    Percent Male","","","","",""
"        Estimate","(X)","21.0%","(X)","3.6%","20.3%"
"    Female","","","","",""
"        Estimate","176","82","3,068","159","471"
"    Percent Female","","","","",""
"        Estimate","(X)","46.6%","(X)","5.2%","15.4%"
"Union County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","1,493","111","20,185","598","1,653"
"    Percent","","","","",""
"        Estimate","(X)","7.4%","(X)","3.0%","8.2%"
"    Male","","","","",""
"        Estimate","843","89","9,779","274","1,034"
"    Percent Male","","","","",""
"        Estimate","(X)","10.6%","(X)","2.8%","10.6%"
"    Female","","","","",""
"        Estimate","650","22","10,406","324","619"
"    Percent Female","","","","",""
"        Estimate","(X)","3.4%","(X)","3.1%","5.9%"
"Upson County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","2,219","401","19,211","805","1,979"
"    Percent","","","","",""
"        Estimate","(X)","18.1%","(X)","4.2%","10.3%"
"    Male","","","","",""
"        Estimate","988","285","8,984","434","847"
"    Percent Male","","","","",""
"        Estimate","(X)","28.8%","(X)","4.8%","9.4%"
"    Female","","","","",""
"        Estimate","1,231","116","10,227","371","1,132"
"    Percent Female","","","","",""
"        Estimate","(X)","9.4%","(X)","3.6%","11.1%"
"Walker County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","5,406","866","48,395","2,485","4,645"
"    Percent","","","","",""
"        Estimate","(X)","16.0%","(X)","5.1%","9.6%"
"    Male","","","","",""
"        Estimate","2,930","448","23,389","1,182","2,554"
"    Percent Male","","","","",""
"        Estimate","(X)","15.3%","(X)","5.1%","10.9%"
"    Female","","","","",""
"        Estimate","2,476","418","25,006","1,303","2,091"
"    Percent Female","","","","",""
"        Estimate","(X)","16.9%","(X)","5.2%","8.4%"
"Walton County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","8,510","1,898","67,595","2,323","6,284"
"    Percent","","","","",""
"        Estimate","(X)","22.3%","(X)","3.4%","9.3%"
"    Male","","","","",""
"        Estimate","4,383","1,265","32,215","1,013","2,899"
"    Percent Male","","","","",""
"        Estimate","(X)","28.9%","(X)","3.1%","9.0%"
"    Female","","","","",""
"        Estimate","4,127","633","35,380","1,310","3,385"
"    Percent Female","","","","",""
"        Estimate","(X)","15.3%","(X)","3.7%","9.6%"
"Ware County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","2,745","534","24,262","1,465","3,016"
"    Percent","","","","",""
"        Estimate","(X)","19.5%","(X)","6.0%","12.4%"
"    Male","","","","",""
"        Estimate","1,300","364","12,099","893","1,797"
"    Percent Male","","","","",""
"        Estimate","(X)","28.0%","(X)","7.4%","14.9%"
"    Female","","","","",""
"        Estimate","1,445","170","12,163","572","1,219"
"    Percent Female","","","","",""
"        Estimate","(X)","11.8%","(X)","4.7%","10.0%"
"Warren County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","388","55","3,740","244","585"
"    Percent","","","","",""
"        Estimate","(X)","14.2%","(X)","6.5%","15.6%"
"    Male","","","","",""
"        Estimate","197","55","1,758","86","387"
"    Percent Male","","","","",""
"        Estimate","(X)","27.9%","(X)","4.9%","22.0%"
"    Female","","","","",""
"        Estimate","191","0","1,982","158","198"
"    Percent Female","","","","",""
"        Estimate","(X)","0.0%","(X)","8.0%","10.0%"
"Washington County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","1,582","353","14,016","683","1,459"
"    Percent","","","","",""
"        Estimate","(X)","22.3%","(X)","4.9%","10.4%"
"    Male","","","","",""
"        Estimate","931","163","7,133","358","822"
"    Percent Male","","","","",""
"        Estimate","(X)","17.5%","(X)","5.0%","11.5%"
"    Female","","","","",""
"        Estimate","651","190","6,883","325","637"
"    Percent Female","","","","",""
"        Estimate","(X)","29.2%","(X)","4.7%","9.3%"
"Wayne County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","2,566","626","20,527","852","1,961"
"    Percent","","","","",""
"        Estimate","(X)","24.4%","(X)","4.2%","9.6%"
"    Male","","","","",""
"        Estimate","1,268","400","10,415","552","996"
"    Percent Male","","","","",""
"        Estimate","(X)","31.5%","(X)","5.3%","9.6%"
"    Female","","","","",""
"        Estimate","1,298","226","10,112","300","965"
"    Percent Female","","","","",""
"        Estimate","(X)","17.4%","(X)","3.0%","9.5%"
"Webster County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","291","55","1,729","87","188"
"    Percent","","","","",""
"        Estimate","(X)","18.9%","(X)","5.0%","10.9%"
"    Male","","","","",""
"        Estimate","124","55","1,005","81","126"
"    Percent Male","","","","",""
"        Estimate","(X)","44.4%","(X)","8.1%","12.5%"
"    Female","","","","",""
"        Estimate","167","0","724","6","62"
"    Percent Female","","","","",""
"        Estimate","(X)","0.0%","(X)","0.8%","8.6%"
"Wheeler County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","1,096","319","5,159","147","1,055"
"    Percent","","","","",""
"        Estimate","(X)","29.1%","(X)","2.8%","20.4%"
"    Male","","","","",""
"        Estimate","747","250","3,464","76","679"
"    Percent Male","","","","",""
"        Estimate","(X)","33.5%","(X)","2.2%","19.6%"
"    Female","","","","",""
"        Estimate","349","69","1,695","71","376"
"    Percent Female","","","","",""
"        Estimate","(X)","19.8%","(X)","4.2%","22.2%"
"White County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","2,806","365","20,158","1,013","2,131"
"    Percent","","","","",""
"        Estimate","(X)","13.0%","(X)","5.0%","10.6%"
"    Male","","","","",""
"        Estimate","1,416","200","9,753","585","1,031"
"    Percent Male","","","","",""
"        Estimate","(X)","14.1%","(X)","6.0%","10.6%"
"    Female","","","","",""
"        Estimate","1,390","165","10,405","428","1,100"
"    Percent Female","","","","",""
"        Estimate","(X)","11.9%","(X)","4.1%","10.6%"
"Whitfield County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","9,724","1,777","67,343","8,692","7,882"
"    Percent","","","","",""
"        Estimate","(X)","18.3%","(X)","12.9%","11.7%"
"    Male","","","","",""
"        Estimate","5,045","918","33,243","4,498","4,697"
"    Percent Male","","","","",""
"        Estimate","(X)","18.2%","(X)","13.5%","14.1%"
"    Female","","","","",""
"        Estimate","4,679","859","34,100","4,194","3,185"
"    Percent Female","","","","",""
"        Estimate","(X)","18.4%","(X)","12.3%","9.3%"
"Wilcox County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","773","161","6,371","352","993"
"    Percent","","","","",""
"        Estimate","(X)","20.8%","(X)","5.5%","15.6%"
"    Male","","","","",""
"        Estimate","492","114","3,921","275","729"
"    Percent Male","","","","",""
"        Estimate","(X)","23.2%","(X)","7.0%","18.6%"
"    Female","","","","",""
"        Estimate","281","47","2,450","77","264"
"    Percent Female","","","","",""
"        Estimate","(X)","16.7%","(X)","3.1%","10.8%"
"Wilkes County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","522","74","7,062","379","891"
"    Percent","","","","",""
"        Estimate","(X)","14.2%","(X)","5.4%","12.6%"
"    Male","","","","",""
"        Estimate","293","53","3,260","201","563"
"    Percent Male","","","","",""
"        Estimate","(X)","18.1%","(X)","6.2%","17.3%"
"    Female","","","","",""
"        Estimate","229","21","3,802","178","328"
"    Percent Female","","","","",""
"        Estimate","(X)","9.2%","(X)","4.7%","8.6%"
"Wilkinson County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","736","91","6,156","232","407"
"    Percent","","","","",""
"        Estimate","(X)","12.4%","(X)","3.8%","6.6%"
"    Male","","","","",""
"        Estimate","404","83","2,851","104","204"
"    Percent Male","","","","",""
"        Estimate","(X)","20.5%","(X)","3.6%","7.2%"
"    Female","","","","",""
"        Estimate","332","8","3,305","128","203"
"    Percent Female","","","","",""
"        Estimate","(X)","2.4%","(X)","3.9%","6.1%"
"Worth County, Georgia","","","","",""
"    Total","","","","",""
"        Estimate","1,486","223","14,504","529","1,429"
"    Percent","","","","",""
"        Estimate","(X)","15.0%","(X)","3.6%","9.9%"
"    Male","","","","",""
"        Estimate","700","206","6,793","234","767"
"    Percent Male","","","","",""
"        Estimate","(X)","29.4%","(X)","3.4%","11.3%"
"    Female","","","","",""
"        Estimate","786","17","7,711","295","662"
"    Percent Female","","","","",""
"        Estimate","(X)","2.2%","(X)","3.8%","8.6%"
"Hawaii County, Hawaii","","","","",""
"    Total","","","","",""
"        Estimate","13,443","1,499","147,788","3,712","6,502"
"    Percent","","","","",""
"        Estimate","(X)","11.2%","(X)","2.5%","4.4%"
"    Male","","","","",""
"        Estimate","6,835","1,017","72,534","2,159","3,982"
"    Percent Male","","","","",""
"        Estimate","(X)","14.9%","(X)","3.0%","5.5%"
"    Female","","","","",""
"        Estimate","6,608","482","75,254","1,553","2,520"
"    Percent Female","","","","",""
"        Estimate","(X)","7.3%","(X)","2.1%","3.3%"
"Honolulu County, Hawaii","","","","",""
"    Total","","","","",""
"        Estimate","87,690","5,912","707,526","23,821","26,466"
"    Percent","","","","",""
"        Estimate","(X)","6.7%","(X)","3.4%","3.7%"
"    Male","","","","",""
"        Estimate","49,590","3,404","350,413","9,676","13,450"
"    Percent Male","","","","",""
"        Estimate","(X)","6.9%","(X)","2.8%","3.8%"
"    Female","","","","",""
"        Estimate","38,100","2,508","357,113","14,145","13,016"
"    Percent Female","","","","",""
"        Estimate","(X)","6.6%","(X)","4.0%","3.6%"
"Kalawao County, Hawaii","","","","",""
"    Total","","","","",""
"        Estimate","0","0","43","3","8"
"    Percent","","","","",""
"        Estimate","(X)","-","(X)","7.0%","18.6%"
"    Male","","","","",""
"        Estimate","0","0","29","2","8"
"    Percent Male","","","","",""
"        Estimate","(X)","-","(X)","6.9%","27.6%"
"    Female","","","","",""
"        Estimate","0","0","14","1","0"
"    Percent Female","","","","",""
"        Estimate","(X)","-","(X)","7.1%","0.0%"
"Kauai County, Hawaii","","","","",""
"    Total","","","","",""
"        Estimate","4,805","607","53,076","1,869","1,996"
"    Percent","","","","",""
"        Estimate","(X)","12.6%","(X)","3.5%","3.8%"
"    Male","","","","",""
"        Estimate","2,485","322","26,015","715","1,052"
"    Percent Male","","","","",""
"        Estimate","(X)","13.0%","(X)","2.7%","4.0%"
"    Female","","","","",""
"        Estimate","2,320","285","27,061","1,154","944"
"    Percent Female","","","","",""
"        Estimate","(X)","12.3%","(X)","4.3%","3.5%"
"Maui County, Hawaii","","","","",""
"    Total","","","","",""
"        Estimate","10,874","862","118,918","3,835","4,738"
"    Percent","","","","",""
"        Estimate","(X)","7.9%","(X)","3.2%","4.0%"
"    Male","","","","",""
"        Estimate","5,425","406","58,544","1,805","2,853"
"    Percent Male","","","","",""
"        Estimate","(X)","7.5%","(X)","3.1%","4.9%"
"    Female","","","","",""
"        Estimate","5,449","456","60,374","2,030","1,885"
"    Percent Female","","","","",""
"        Estimate","(X)","8.4%","(X)","3.4%","3.1%"
