"Label (Grouping)","Population 1 year and over"
"    Moved; within same county",""
"        Estimate","7.8%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","8.4%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"DeSoto County, Florida",""
"    Total",""
"        Estimate","36,683"
"        Margin of Error","±85"
"    Moved; within same county",""
"        Estimate","5.0%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","5.2%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","1.4%"
"        Margin of Error","±1.2"
"Dixie County, Florida",""
"    Total",""
"        Estimate","16,454"
"        Margin of Error","±76"
"    Moved; within same county",""
"        Estimate","4.8%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","7.5%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Duval County, Florida",""
"    Total",""
"        Estimate","923,002"
"        Margin of Error","±868"
"    Moved; within same county",""
"        Estimate","12.7%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","3.0%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.1"
"Escambia County, Florida",""
"    Total",""
"        Estimate","309,972"
"        Margin of Error","±484"
"    Moved; within same county",""
"        Estimate","9.2%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","5.8%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.1"
"Flagler County, Florida",""
"    Total",""
"        Estimate","109,177"
"        Margin of Error","±207"
"    Moved; within same county",""
"        Estimate","3.6%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","4.9%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.4"
"Franklin County, Florida",""
"    Total",""
"        Estimate","11,748"
"        Margin of Error","±48"
"    Moved; within same county",""
"        Estimate","4.7%"
"        Margin of Error","±2.4"
"    Moved; from different county, same state",""
"        Estimate","9.1%"
"        Margin of Error","±1.7"
"    Moved; from different  state",""
"        Estimate","2.3%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Gadsden County, Florida",""
"    Total",""
"        Estimate","45,492"
"        Margin of Error","±178"
"    Moved; within same county",""
"        Estimate","2.9%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","6.8%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Gilchrist County, Florida",""
"    Total",""
"        Estimate","17,858"
"        Margin of Error","±64"
"    Moved; within same county",""
"        Estimate","4.3%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","7.8%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Glades County, Florida",""
"    Total",""
"        Estimate","13,474"
"        Margin of Error","±34"
"    Moved; within same county",""
"        Estimate","0.9%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","6.9%"
"        Margin of Error","±2.3"
"    Moved; from different  state",""
"        Estimate","3.0%"
"        Margin of Error","±1.7"
"    Moved; from abroad",""
"        Estimate","1.3%"
"        Margin of Error","±0.8"
"Gulf County, Florida",""
"    Total",""
"        Estimate","15,511"
"        Margin of Error","±44"
"    Moved; within same county",""
"        Estimate","7.0%"
"        Margin of Error","±2.2"
"    Moved; from different county, same state",""
"        Estimate","12.8%"
"        Margin of Error","±2.2"
"    Moved; from different  state",""
"        Estimate","3.2%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.4"
"Hamilton County, Florida",""
"    Total",""
"        Estimate","14,217"
"        Margin of Error","±45"
"    Moved; within same county",""
"        Estimate","3.9%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","11.9%"
"        Margin of Error","±1.7"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Hardee County, Florida",""
"    Total",""
"        Estimate","26,988"
"        Margin of Error","±71"
"    Moved; within same county",""
"        Estimate","3.7%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","2.4%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"Hendry County, Florida",""
"    Total",""
"        Estimate","40,202"
"        Margin of Error","±201"
"    Moved; within same county",""
"        Estimate","7.2%"
"        Margin of Error","±2.0"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","3.7%"
"        Margin of Error","±1.8"
"Hernando County, Florida",""
"    Total",""
"        Estimate","184,659"
"        Margin of Error","±303"
"    Moved; within same county",""
"        Estimate","5.3%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","4.7%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","3.3%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.1"
"Highlands County, Florida",""
"    Total",""
"        Estimate","102,683"
"        Margin of Error","±243"
"    Moved; within same county",""
"        Estimate","8.1%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","3.1%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","3.0%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","1.2%"
"        Margin of Error","±0.5"
"Hillsborough County, Florida",""
"    Total",""
"        Estimate","1,406,640"
"        Margin of Error","±912"
"    Moved; within same county",""
"        Estimate","10.8%"
"        Margin of Error","±0.3"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","3.0%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","1.2%"
"        Margin of Error","±0.1"
"Holmes County, Florida",""
"    Total",""
"        Estimate","19,179"
"        Margin of Error","±72"
"    Moved; within same county",""
"        Estimate","7.4%"
"        Margin of Error","±2.2"
"    Moved; from different county, same state",""
"        Estimate","8.9%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","2.3%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Indian River County, Florida",""
"    Total",""
"        Estimate","152,728"
"        Margin of Error","±286"
"    Moved; within same county",""
"        Estimate","5.4%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","3.6%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.3"
"Jackson County, Florida",""
"    Total",""
"        Estimate","47,399"
"        Margin of Error","±138"
"    Moved; within same county",""
"        Estimate","7.0%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","8.4%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Jefferson County, Florida",""
"    Total",""
"        Estimate","14,026"
"        Margin of Error","±55"
"    Moved; within same county",""
"        Estimate","2.9%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","9.6%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","2.2%"
"        Margin of Error","±1.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Lafayette County, Florida",""
"    Total",""
"        Estimate","8,566"
"        Margin of Error","±72"
"    Moved; within same county",""
"        Estimate","2.8%"
"        Margin of Error","±2.5"
"    Moved; from different county, same state",""
"        Estimate","9.9%"
"        Margin of Error","±2.6"
"    Moved; from different  state",""
"        Estimate","0.3%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.4"
"Lake County, Florida",""
"    Total",""
"        Estimate","342,432"
"        Margin of Error","±474"
"    Moved; within same county",""
"        Estimate","6.6%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","5.2%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","3.3%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.3"
"Lee County, Florida",""
"    Total",""
"        Estimate","731,126"
"        Margin of Error","±595"
"    Moved; within same county",""
"        Estimate","7.8%"
"        Margin of Error","±0.4"
"    Moved; from different county, same state",""
"        Estimate","1.9%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","3.9%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.1"
"Leon County, Florida",""
"    Total",""
"        Estimate","286,961"
"        Margin of Error","±371"
"    Moved; within same county",""
"        Estimate","13.9%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","7.0%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","3.0%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.1"
"Levy County, Florida",""
"    Total",""
"        Estimate","39,997"
"        Margin of Error","±139"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","5.5%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Liberty County, Florida",""
"    Total",""
"        Estimate","8,266"
"        Margin of Error","±58"
"    Moved; within same county",""
"        Estimate","2.2%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","10.3%"
"        Margin of Error","±2.4"
"    Moved; from different  state",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Madison County, Florida",""
"    Total",""
"        Estimate","18,379"
"        Margin of Error","±50"
"    Moved; within same county",""
"        Estimate","4.9%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","7.6%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.6"
"Manatee County, Florida",""
"    Total",""
"        Estimate","381,001"
"        Margin of Error","±470"
"    Moved; within same county",""
"        Estimate","7.5%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","4.1%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.1"
"Marion County, Florida",""
"    Total",""
"        Estimate","350,795"
"        Margin of Error","±373"
"    Moved; within same county",""
"        Estimate","6.8%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","3.5%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","3.1%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.1"
"Martin County, Florida",""
"    Total",""
"        Estimate","157,888"
"        Margin of Error","±235"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","4.7%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","3.2%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.3"
"Miami-Dade County, Florida",""
"    Total",""
"        Estimate","2,669,811"
"        Margin of Error","±1,316"
"    Moved; within same county",""
"        Estimate","8.2%"
"        Margin of Error","±0.3"
"    Moved; from different county, same state",""
"        Estimate","1.0%"
"        Margin of Error","±0.1"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.1"
"    Moved; from abroad",""
"        Estimate","1.8%"
"        Margin of Error","±0.1"
"Monroe County, Florida",""
"    Total",""
"        Estimate","75,034"
"        Margin of Error","±197"
"    Moved; within same county",""
"        Estimate","8.9%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","5.2%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","1.4%"
"        Margin of Error","±0.6"
"Nassau County, Florida",""
"    Total",""
"        Estimate","82,299"
"        Margin of Error","±226"
"    Moved; within same county",""
"        Estimate","6.0%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","3.7%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Okaloosa County, Florida",""
"    Total",""
"        Estimate","200,931"
"        Margin of Error","±350"
"    Moved; within same county",""
"        Estimate","9.9%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.3%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","7.0%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.2"
"Okeechobee County, Florida",""
"    Total",""
"        Estimate","40,655"
"        Margin of Error","±161"
"    Moved; within same county",""
"        Estimate","3.1%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Orange County, Florida",""
"    Total",""
"        Estimate","1,334,861"
"        Margin of Error","±1,043"
"    Moved; within same county",""
"        Estimate","9.9%"
"        Margin of Error","±0.4"
"    Moved; from different county, same state",""
"        Estimate","3.9%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","2.8%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","1.8%"
"        Margin of Error","±0.2"
"Osceola County, Florida",""
"    Total",""
"        Estimate","348,022"
"        Margin of Error","±597"
"    Moved; within same county",""
"        Estimate","6.3%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","2.3%"
"        Margin of Error","±0.5"
"Palm Beach County, Florida",""
"    Total",""
"        Estimate","1,450,578"
"        Margin of Error","±902"
"    Moved; within same county",""
"        Estimate","8.9%"
"        Margin of Error","±0.3"
"    Moved; from different county, same state",""
"        Estimate","2.4%"
"        Margin of Error","±0.1"
"    Moved; from different  state",""
"        Estimate","2.6%"
"        Margin of Error","±0.1"
"    Moved; from abroad",""
"        Estimate","1.2%"
"        Margin of Error","±0.1"
"Pasco County, Florida",""
"    Total",""
"        Estimate","519,760"
"        Margin of Error","±486"
"    Moved; within same county",""
"        Estimate","6.5%"
"        Margin of Error","±0.4"
"    Moved; from different county, same state",""
"        Estimate","4.2%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","2.9%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.1"
"Pinellas County, Florida",""
"    Total",""
"        Estimate","956,990"
"        Margin of Error","±640"
"    Moved; within same county",""
"        Estimate","9.5%"
"        Margin of Error","±0.4"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","3.3%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.1"
"Polk County, Florida",""
"    Total",""
"        Estimate","678,790"
"        Margin of Error","±627"
"    Moved; within same county",""
"        Estimate","7.4%"
"        Margin of Error","±0.4"
"    Moved; from different county, same state",""
"        Estimate","3.5%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","3.1%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.1"
"Putnam County, Florida",""
"    Total",""
"        Estimate","72,523"
"        Margin of Error","±227"
"    Moved; within same county",""
"        Estimate","6.5%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","3.9%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"St. Johns County, Florida",""
"    Total",""
"        Estimate","242,547"
"        Margin of Error","±294"
"    Moved; within same county",""
"        Estimate","6.2%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","5.3%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","5.1%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.3"
"St. Lucie County, Florida",""
"    Total",""
"        Estimate","310,433"
"        Margin of Error","±560"
"    Moved; within same county",""
"        Estimate","5.7%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","4.6%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","2.7%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.2"
"Santa Rosa County, Florida",""
"    Total",""
"        Estimate","172,674"
"        Margin of Error","±301"
"    Moved; within same county",""
"        Estimate","6.9%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","5.0%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","5.9%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.2"
"Sarasota County, Florida",""
"    Total",""
"        Estimate","416,654"
"        Margin of Error","±490"
"    Moved; within same county",""
"        Estimate","8.1%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","2.4%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","4.0%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.1"
"Seminole County, Florida",""
"    Total",""
"        Estimate","457,552"
"        Margin of Error","±423"
"    Moved; within same county",""
"        Estimate","6.5%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","5.2%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","2.9%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.9%"
"        Margin of Error","±0.1"
"Sumter County, Florida",""
"    Total",""
"        Estimate","124,527"
"        Margin of Error","±131"
"    Moved; within same county",""
"        Estimate","4.2%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","3.1%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","4.5%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.2"
"Suwannee County, Florida",""
"    Total",""
"        Estimate","43,614"
"        Margin of Error","±188"
"    Moved; within same county",""
"        Estimate","3.1%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","5.9%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Taylor County, Florida",""
"    Total",""
"        Estimate","21,670"
"        Margin of Error","±129"
"    Moved; within same county",""
"        Estimate","4.6%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","10.6%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"Union County, Florida",""
"    Total",""
"        Estimate","15,175"
"        Margin of Error","±58"
"    Moved; within same county",""
"        Estimate","2.9%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","20.6%"
"        Margin of Error","±2.6"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Volusia County, Florida",""
"    Total",""
"        Estimate","531,419"
"        Margin of Error","±585"
"    Moved; within same county",""
"        Estimate","7.0%"
"        Margin of Error","±0.4"
"    Moved; from different county, same state",""
"        Estimate","3.3%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","2.6%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.1"
"Wakulla County, Florida",""
"    Total",""
"        Estimate","32,092"
"        Margin of Error","±139"
"    Moved; within same county",""
"        Estimate","3.9%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","6.8%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Walton County, Florida",""
"    Total",""
"        Estimate","67,349"
"        Margin of Error","±216"
"    Moved; within same county",""
"        Estimate","8.6%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","4.4%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Washington County, Florida",""
"    Total",""
"        Estimate","24,546"
"        Margin of Error","±87"
"    Moved; within same county",""
"        Estimate","4.3%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","9.1%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Appling County, Georgia",""
"    Total",""
"        Estimate","18,137"
"        Margin of Error","±158"
"    Moved; within same county",""
"        Estimate","3.6%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","2.4%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Atkinson County, Georgia",""
"    Total",""
"        Estimate","8,111"
"        Margin of Error","±48"
"    Moved; within same county",""
"        Estimate","4.0%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","1.5%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.5"
"Bacon County, Georgia",""
"    Total",""
"        Estimate","11,117"
"        Margin of Error","±52"
"    Moved; within same county",""
"        Estimate","6.2%"
"        Margin of Error","±2.7"
"    Moved; from different county, same state",""
"        Estimate","4.6%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Baker County, Georgia",""
"    Total",""
"        Estimate","3,109"
"        Margin of Error","±22"
"    Moved; within same county",""
"        Estimate","1.3%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±2.3"
"    Moved; from different  state",""
"        Estimate","0.3%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±1.3"
"Baldwin County, Georgia",""
"    Total",""
"        Estimate","44,612"
"        Margin of Error","±177"
"    Moved; within same county",""
"        Estimate","9.1%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","7.6%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Banks County, Georgia",""
"    Total",""
"        Estimate","18,520"
"        Margin of Error","±79"
"    Moved; within same county",""
"        Estimate","1.4%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Barrow County, Georgia",""
"    Total",""
"        Estimate","78,017"
"        Margin of Error","±206"
"    Moved; within same county",""
"        Estimate","4.0%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","5.0%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Bartow County, Georgia",""
"    Total",""
"        Estimate","103,721"
"        Margin of Error","±297"
"    Moved; within same county",""
"        Estimate","8.6%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","5.0%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Ben Hill County, Georgia",""
"    Total",""
"        Estimate","16,833"
"        Margin of Error","±89"
"    Moved; within same county",""
"        Estimate","4.0%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Berrien County, Georgia",""
"    Total",""
"        Estimate","18,971"
"        Margin of Error","±75"
"    Moved; within same county",""
"        Estimate","4.9%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","4.4%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Bibb County, Georgia",""
"    Total",""
"        Estimate","151,033"
"        Margin of Error","±354"
"    Moved; within same county",""
"        Estimate","9.3%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","5.8%"
"        Margin of Error","±0.8"
